rcid,airpt_cd,airpt_name,cntry_cd,atpco_cntry_cd,icao,city_cd,lat,lng,timezone,gmt,is_rail_road,is_bus_station,geoname_id,us_state_cd,atpco_zone,atpco_area
1,AAA,Anaa,PF,PF,NTGA,AAA,-17.050000,-145.416670,Pacific/Tahiti,-10,N,N,6947726,,340,3
2,AAB,Arrabury,AU,AU,YARY,AAB,-26.700000,141.041670,Australia/Brisbane,10,N,N,7730796,,340,3
3,AAC,"El Arish International Airport",EG,EG,HEAR,AAC,31.133333,33.750000,Africa/Cairo,2,N,N,6297289,,220,2
4,AAE,"Les Salines",DZ,DZ,DABB,AAE,36.821392,7.811857,Africa/Algiers,1,N,N,2570559,,210,2
5,AAF,"Apalachicola Regional",US,US,KAAF,AAF,29.733334,-84.983330,America/New_York,-5,N,N,4146153,,000,1
6,AAG,Arapoti,BR,BR,SSYA,AAG,-24.103611,-49.790000,America/Sao_Paulo,-2,N,N,3471795,,170,1
7,AAH,Aachen/Merzbruck,DE,DE,EDKA,AAH,50.750000,6.133333,Europe/Berlin,1,N,N,3247449,,210,2
8,AAI,Arraias,BR,BR,SWRA,AAI,-12.916667,-46.933334,America/Araguaina,-2,N,N,7668483,,170,1
9,AAJ,"Cayana Airstrip",SR,SR,,AAJ,3.900000,-55.366670,America/Paramaribo,-3,N,N,0,,140,1
10,AAK,Aranuka,KI,KI,NGUK,AAK,0.166667,173.583330,Pacific/Tarawa,12,N,N,7521791,,340,3
11,AAL,Aalborg,DK,DK,EKYT,AAL,57.086550,9.872241,Europe/Copenhagen,1,N,N,2624887,,210,2
12,AAM,"Mala Mala",ZA,ZA,FAMD,AAM,-24.800000,31.533333,Africa/Johannesburg,2,N,N,7668229,,230,2
13,AAN,"Al Ain",AE,AE,OMAL,AAN,24.260231,55.616627,Asia/Dubai,4,N,N,6300095,,220,2
14,AAO,Anaco,VE,VE,,AAO,9.431944,-64.463890,America/Caracas,-5,N,N,3486270,,170,1
15,AAQ,Anapa,RU,RU,URKA,AAQ,44.900000,37.316666,Europe/Moscow,4,N,N,6300989,,210,2
16,AAR,"Aarhus Airport",DK,DK,EKAH,AAR,56.308230,10.626351,Europe/Copenhagen,1,N,N,2611665,,210,2
17,AAS,Apalapsili,ID,ID,,AAS,-3.916667,139.250000,Asia/Jayapura,9,N,N,7730799,,320,3
18,AAT,Altay,CN,CN,ZWAT,AAT,47.750362,88.084440,Asia/Shanghai,8,N,N,7910421,,320,3
19,AAU,Asau,WS,WS,,AAU,-13.458333,-172.600000,Pacific/Apia,14,N,N,7667905,,,
20,AAV,"Allah Valley",PH,PH,,AAV,6.333333,124.766670,Asia/Manila,8,N,N,0,,320,3
21,AAW,Abbottabad,PK,PK,,AAW,34.200000,73.250000,Asia/Karachi,5,N,N,0,,330,3
22,AAX,Araxa,BR,BR,SBAX,AAX,-19.568056,-46.929170,America/Sao_Paulo,-2,N,N,7668431,,170,1
23,AAY,"Al Ghaydah",YE,YE,OYGD,AAY,16.195960,52.173256,Asia/Aden,3,N,N,7668412,,220,2
24,AAZ,Quetzaltenango,GT,GT,MGQZ,AAZ,14.870000,-91.500000,America/Guatemala,-6,N,N,6299804,,160,1
25,ABA,Abakan,RU,XU,UNAA,ABA,53.716667,91.500000,Asia/Krasnoyarsk,8,N,N,6300982,,360,3
26,ABB,"RAF Station",NG,NG,EGUD,ABB,51.666668,-1.283333,Africa/Lagos,1,N,N,7668214,,230,2
27,ABC,"Los Llanos",ES,ES,LEAB,ABC,38.948334,-1.863333,Europe/Madrid,1,N,N,6299323,,210,2
28,ABD,Abadan,IR,IR,OIAA,ABD,30.363905,48.226597,Asia/Tehran,4,N,N,6300034,,220,2
29,ABE,"Lehigh Valley International",US,US,KABE,ABE,40.651573,-75.434364,America/New_York,-5,N,N,5200013,PA,000,1
